internal_section_ids_mouse_609882_thalamus,internal_section_ids_mouse_638850_thalamus,,,,,,,,,,,,,,,,,,,,,,
1198980071,1199651063,,,,,,,,,,,,,,,,,,,,,,
1198980074,None,,,,,,,,,,,,,,,,,,,,,,
1198980077,1199651060,,,,,,,,,,,,,,,,,,,,,,
1198980080,None,,,,,,,,,,,,,,,,,,,,,,
None,1199651057,,,,,,,,,,,,,,,,,,,,,,
1198980086,None,,,,,,,,,,,,,,,,,,,,,,
1198980089,1199651054,,,,,,,,,,,,,,,,,,,,,,
1198980092,None,,,,,,,,,,,,,,,,,,,,,,
1198980095,None,,,,,,,,,,,,,,,,,,,,,,
1198980098,None,,,,,,,,,,,,,,,,,,,,,,
1198980101,1199651048,,,,,,,,,,,,,,,,,,,,,,
1198980105,None,,,,,,,,,,,,,,,,,,,,,,
1198980108,1199651045,,,,,,,,,,,,,,,,,,,,,,
1198980111,None,,,,,,,,,,,,,,,,,,,,,,
1198980114,1199651042,,,,,,,,,,,,,,,,,,,,,,
1198980117,None,,,,,,,,,,,,,,,,,,,,,,
1198980120,1199651039,,,,,,,,,,,,,,,,,,,,,,
1198980123,None,,,,,,,,,,,,,,,,,,,,,,
None,1199651036,,,,,,,,,,,,,,,,,,,,,,
1198980131,None,,,,,,,,,,,,,,,,,,,,,,
1198980134,1199651033,,,,,,,,,,,,,,,,,,,,,,
1198980137,None,,,,,,,,,,,,,,,,,,,,,,
1198980140,None,,,,,,,,,,,,,,,,,,,,,,
1198980146,1199651027,,,,,,,,,,,,,,,,,,,,,,
1198980149,None,,,,,,,,,,,,,,,,,,,,,,
1198980152,1199651024,,,,,,,,,,,,,,,,,,,,,,
1198980155,None,,,,,,,,,,,,,,,,,,,,,,
None,1199651021,,,,,,,,,,,,,,,,,,,,,,
1198980161,None,,,,,,,,,,,,,,,,,,,,,,
1198980164,1199651018,,,,,,,,,,,,,,,,,,,,,,
None,1199651015,,,,,,,,,,,,,,,,,,,,,,
