structure abbreviation,ARA ontology order,structure ID,full structure name,Major Brain Division,Mouse line,Image id,Dataset type,Transgenic Signal in CCF structure,Connectivity Source Injection Site,ABA gene name,Link to image viewer or download location for individual high resolution images (n.b. only jp2 files are at BIL),Link to 25 um Tg line grid data (.nrrd files),Link to cortical surface views (.nrrd files)
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Grp-Cre_KH288;Ai14,485023521,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485023521?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Syt6-Cre_KI148;Ai14,485025561,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485025561?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Slc17a7-IRES2-Cre;Ai14,541490256,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541490256?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Htr1a-IRES2-Cre;Ai14,545796708,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545796708?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Etv1-CreERT2;Ai140,549369763,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/549369763?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
